Bioreactor,Condition,Replicate,Day,Strain,Type,Agar,Count,Dilution_factor
M0,chemostat,4,4,R19,competition,LB,213,5
M0,chemostat,4,4,R19,competition,RIF,255,2
M1,chemostat,4,4,R36,competition,LB,255,5
M1,chemostat,4,4,R36,competition,RIF,222,5
M2,chemostat,4,4,R36,monoculture,LB,194,5
M2,chemostat,4,4,R36,monoculture,RIF,180,5
M3,chemostat,4,4,R2,monoculture,LB,311,5
M3,chemostat,4,4,R2,monoculture,RIF,245,5
M4,chemostat,4,4,MG1655,monoculture,LB,206,5
M4,chemostat,4,4,MG1655,monoculture,RIF,0,1
M5,chemostat,4,4,R19,monoculture,LB,68,5
M5,chemostat,4,4,R19,monoculture,RIF,84,5
M6,chemostat,4,4,R2,competition,LB,238,5
M6,chemostat,4,4,R2,competition,RIF,203,5
M7,chemostat,4,4,CONTROL,CONTROL,LB,0,1
M7,chemostat,4,4,CONTROL,CONTROL,RIF,0,1
M0,chemostat,4,5,R19,competition,LB,389,5
M0,chemostat,4,5,R19,competition,RIF,105,2
M1,chemostat,4,5,R36,competition,LB,393,5
M1,chemostat,4,5,R36,competition,RIF,414,5
M2,chemostat,4,5,R36,monoculture,LB,240,5
M2,chemostat,4,5,R36,monoculture,RIF,284,5
M3,chemostat,4,5,R2,monoculture,LB,439,5
M3,chemostat,4,5,R2,monoculture,RIF,492,5
M4,chemostat,4,5,MG1655,monoculture,LB,156,5
M4,chemostat,4,5,MG1655,monoculture,RIF,0,1
M5,chemostat,4,5,R19,monoculture,LB,114,5
M5,chemostat,4,5,R19,monoculture,RIF,101,5
M6,chemostat,4,5,R2,competition,LB,230,5
M6,chemostat,4,5,R2,competition,RIF,218,5
M7,chemostat,4,5,CONTROL,CONTROL,LB,0,1
M7,chemostat,4,5,CONTROL,CONTROL,RIF,0,1
M0,chemostat,4,6,R19,competition,LB,219,5
M0,chemostat,4,6,R19,competition,RIF,213,1
M1,chemostat,4,6,R36,competition,LB,167,5
M1,chemostat,4,6,R36,competition,RIF,129,5
M2,chemostat,4,6,R36,monoculture,LB,166,5
M2,chemostat,4,6,R36,monoculture,RIF,148,5
M3,chemostat,4,6,R2,monoculture,LB,244,5
M3,chemostat,4,6,R2,monoculture,RIF,192,5
M4,chemostat,4,6,MG1655,monoculture,LB,234,5
M4,chemostat,4,6,MG1655,monoculture,RIF,0,1
M5,chemostat,4,6,R19,monoculture,LB,85,5
M5,chemostat,4,6,R19,monoculture,RIF,69,5
M6,chemostat,4,6,R2,competition,LB,213,5
M6,chemostat,4,6,R2,competition,RIF,157,5
M7,chemostat,4,6,CONTROL,CONTROL,LB,0,1
M7,chemostat,4,6,CONTROL,CONTROL,RIF,0,1
